ts,kw,fan
2011-07-01T00:00:00-04:00 New_York,169kW,off
2011-07-01T00:15:00-04:00 New_York,176kW,""
2011-07-01T00:30:00-04:00 New_York,171kW,""
2011-07-01T00:35:00-04:00 New_York,"",on
2011-07-01T00:40:00-04:00 New_York,"",off
2011-07-01T00:45:00-04:00 New_York,254kW,""
2011-07-01T01:00:00-04:00 New_York,177kW,""
2011-07-01T01:15:00-04:00 New_York,168kW,""
2011-07-01T01:30:00-04:00 New_York,254kW,""
2011-07-01T01:45:00-04:00 New_York,169kW,""
2011-07-01T02:00:00-04:00 New_York,173kW,""
2011-07-01T02:15:00-04:00 New_York,242kW,""
2011-07-01T02:30:00-04:00 New_York,171kW,""
2011-07-01T02:45:00-04:00 New_York,164kW,""
2011-07-01T03:00:00-04:00 New_York,172kW,""
2011-07-01T03:15:00-04:00 New_York,168kW,""
2011-07-01T03:30:00-04:00 New_York,170kW,""
2011-07-01T03:45:00-04:00 New_York,166kW,""
2011-07-01T04:00:00-04:00 New_York,166kW,""
2011-07-01T04:15:00-04:00 New_York,175kW,""
2011-07-01T04:30:00-04:00 New_York,169kW,""
2011-07-01T04:45:00-04:00 New_York,165kW,""
2011-07-01T05:00:00-04:00 New_York,172kW,""
2011-07-01T05:15:00-04:00 New_York,175kW,""
2011-07-01T05:30:00-04:00 New_York,164kW,""
2011-07-01T05:45:00-04:00 New_York,165kW,""
2011-07-01T06:00:00-04:00 New_York,164kW,""
2011-07-01T06:15:00-04:00 New_York,171kW,""
2011-07-01T06:30:00-04:00 New_York,172kW,""
2011-07-01T06:45:00-04:00 New_York,237kW,""
2011-07-01T07:00:00-04:00 New_York,96kW,""
2011-07-01T07:15:00-04:00 New_York,103kW,""
2011-07-01T07:30:00-04:00 New_York,99kW,""
2011-07-01T07:45:00-04:00 New_York,99kW,""
2011-07-01T08:00:00-04:00 New_York,98kW,""
2011-07-01T08:15:00-04:00 New_York,175kW,""
2011-07-01T08:30:00-04:00 New_York,181kW,""
2011-07-01T08:45:00-04:00 New_York,253kW,""
2011-07-01T09:00:00-04:00 New_York,167kW,on
2011-07-01T09:15:00-04:00 New_York,446kW,""
2011-07-01T09:30:00-04:00 New_York,452kW,""
2011-07-01T09:45:00-04:00 New_York,432kW,""
2011-07-01T10:00:00-04:00 New_York,386kW,""
2011-07-01T10:15:00-04:00 New_York,384kW,""
2011-07-01T10:30:00-04:00 New_York,396kW,""
2011-07-01T10:45:00-04:00 New_York,384kW,""
2011-07-01T11:00:00-04:00 New_York,388kW,""
2011-07-01T11:15:00-04:00 New_York,392kW,""
2011-07-01T11:30:00-04:00 New_York,378kW,""
2011-07-01T11:45:00-04:00 New_York,371kW,off
2011-07-01T12:00:00-04:00 New_York,316kW,""
2011-07-01T12:15:00-04:00 New_York,380kW,""
2011-07-01T12:30:00-04:00 New_York,340kW,""
2011-07-01T12:45:00-04:00 New_York,336kW,""
2011-07-01T13:00:00-04:00 New_York,329kW,""
2011-07-01T13:15:00-04:00 New_York,342kW,on
2011-07-01T13:30:00-04:00 New_York,441kW,""
2011-07-01T13:45:00-04:00 New_York,463kW,""
2011-07-01T14:00:00-04:00 New_York,386kW,""
2011-07-01T14:15:00-04:00 New_York,386kW,""
2011-07-01T14:30:00-04:00 New_York,392kW,""
2011-07-01T14:45:00-04:00 New_York,376kW,""
2011-07-01T15:00:00-04:00 New_York,383kW,""
2011-07-01T15:15:00-04:00 New_York,386kW,""
2011-07-01T15:30:00-04:00 New_York,393kW,""
2011-07-01T15:45:00-04:00 New_York,437kW,""
2011-07-01T16:00:00-04:00 New_York,373kW,""
2011-07-01T16:15:00-04:00 New_York,381kW,""
2011-07-01T16:30:00-04:00 New_York,352kW,""
2011-07-01T16:45:00-04:00 New_York,357kW,""
2011-07-01T17:00:00-04:00 New_York,344kW,""
2011-07-01T17:15:00-04:00 New_York,369kW,""
2011-07-01T17:30:00-04:00 New_York,363kW,""
2011-07-01T17:45:00-04:00 New_York,374kW,""
2011-07-01T18:00:00-04:00 New_York,418kW,off
2011-07-01T18:15:00-04:00 New_York,394kW,""
2011-07-01T18:30:00-04:00 New_York,426kW,""
2011-07-01T18:45:00-04:00 New_York,366kW,""
2011-07-01T19:00:00-04:00 New_York,479kW,""
2011-07-01T19:15:00-04:00 New_York,432kW,""
2011-07-01T19:30:00-04:00 New_York,440kW,on
2011-07-01T19:45:00-04:00 New_York,493kW,""
2011-07-01T20:00:00-04:00 New_York,470kW,""
2011-07-01T20:15:00-04:00 New_York,444kW,""
2011-07-01T20:30:00-04:00 New_York,375kW,""
2011-07-01T20:45:00-04:00 New_York,416kW,""
2011-07-01T21:00:00-04:00 New_York,425kW,""
2011-07-01T21:15:00-04:00 New_York,436kW,off
2011-07-01T21:30:00-04:00 New_York,288kW,""
2011-07-01T21:45:00-04:00 New_York,259kW,""
2011-07-01T22:00:00-04:00 New_York,246kW,""
2011-07-01T22:15:00-04:00 New_York,259kW,""
2011-07-01T22:30:00-04:00 New_York,249kW,""
2011-07-01T22:45:00-04:00 New_York,224kW,""
2011-07-01T23:00:00-04:00 New_York,166kW,""
2011-07-01T23:15:00-04:00 New_York,172kW,""
2011-07-01T23:30:00-04:00 New_York,165kW,""
2011-07-01T23:45:00-04:00 New_York,162kW,""

